"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","53.4","","","","1"
"2020-06","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","44.1","","","","1"
"2020-07","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","39.2","","","","1"
"2020-08","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","39.5","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.2","","","","1"
"2020-10","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","30.8","","","","1"
"2020-11","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","24.5","","","","1"
"2020-12","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","22.1","","","","1"
"2021-01","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","27.4","","","","1"
"2021-02","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.6","","","","1"
"2021-03","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","30.9","","","","1"
"2021-04","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.9","","","","1"
"2021-05","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","34.3","","","","1"
"2021-06","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.3","","","","1"
"2021-07","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","25.7","","","","1"
"2021-08","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","29.5","","","","1"
"2021-09","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","26.0","","","","1"
"2021-10","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","31.5","","","","1"
"2021-11","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","22.5","","","","1"
"2019-04","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","196.1","","","","1"
"2019-05","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","153.8","","","","1"
"2019-06","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","158.7","","","","1"
"2019-07","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","207.7","","","","1"
"2019-08","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","190.7","","","","1"
"2019-09","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","144.5","","","","1"
"2019-10","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","150.9","","","","1"
"2019-11","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","158.3","","","","1"
"2019-12","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","136.6","","","","1"
"2020-01","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","146.5","","","","1"
"2020-02","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","152.8","","","","1"
"2020-03","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","202.0","","","","1"
"2020-04","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","275.6","","","","1"
"2020-05","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","285.5","","","","1"
"2020-06","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","274.3","","","","1"
"2020-07","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","286.3","","","","1"
"2020-08","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","257.1","","","","1"
"2020-09","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","194.0","","","","1"
"2020-10","Canada","2016A000011124","Unemployment","Some high school","Both sexes","15 years and over","Persons","249","thousands","3","v2627976","1.6.3.1.1","190.7","","","","1"
